Year,LocationAbbr,LocationDesc,Question,DataValue,Gender
2011,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.4,Male
2011,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.6,Overall
2011,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59,Female
2015,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.7,Male
2015,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.3,Overall
2015,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,56.8,Female
2015,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,56.1,Female
2011,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71,Male
2013,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.5,Female
2011,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.3,Overall
2011,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Female
2015,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.7,Female
2015,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.2,Female
2013,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68,Overall
2015,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.1,Overall
2013,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.6,Female
2015,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.5,Overall
2011,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.1,Female
2015,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66,Male
2013,AZ,Arizona,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.7,Male
2011,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.3,Overall
2013,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.2,Overall
2011,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.7,Male
2015,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.1,Male
2013,AZ,Arizona,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64,Male
2015,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,80.7,Male
2015,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78,Overall
2011,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.3,Female
2015,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.9,Female
2013,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.1,Male
2011,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.9,Overall
2013,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.8,Overall
2013,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.3,Female
2011,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71.6,Male
2015,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71.1,Male
2011,AR,Arkansas,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.5,Male
2015,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.3,Overall
2015,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.7,Female
2013,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.9,Male
2011,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.4,Overall
2013,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.4,Overall
2013,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.5,Female
2011,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.1,Female
2011,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71,Male
2011,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.6,Overall
2011,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.3,Female
2013,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.1,Male
2015,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Female
2013,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Overall
2013,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.5,Male
2013,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.2,Female
2013,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.2,Overall
2011,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.5,Female
2013,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.9,Female
2015,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.6,Overall
2015,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.4,Female
2011,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.5,Overall
2015,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,64,Male
2015,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.3,Overall
2011,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,61.6,Male
2015,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.5,Male
2013,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.4,Female
2013,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70,Overall
2013,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.7,Male
2015,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.9,Female
2011,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.2,Female
2011,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Female
2015,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.7,Overall
2011,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.1,Overall
2013,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.9,Male
2015,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.3,Female
2013,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.6,Overall
2011,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.4,Male
2015,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.2,Male
2011,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.1,Overall
2013,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.2,Female
2015,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,61.8,Overall
2011,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60.6,Male
2015,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.7,Male
2015,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.1,Female
2015,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.3,Overall
2015,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.8,Male
2011,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.6,Female
2013,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.8,Male
2013,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.2,Overall
2011,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.9,Overall
2013,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.6,Female
2011,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.3,Male
2015,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.3,Female
2013,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.4,Female
2015,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.3,Overall
2015,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.5,Male
2013,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.2,Overall
2011,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.3,Female
2011,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.6,Overall
2013,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.3,Male
2011,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.9,Male
2011,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.7,Female
2013,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.1,Female
2011,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.9,Overall
2015,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.7,Female
2013,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.2,Overall
2015,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73,Overall
2011,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.9,Male
2015,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.3,Male
2013,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.1,Male
2013,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.8,Male
2015,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.2,Male
2011,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.9,Male
2013,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.9,Overall
2013,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67,Female
2011,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.7,Overall
2015,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.8,Overall
2011,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.5,Female
2015,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.4,Female
2013,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,82.8,Female
2015,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,80.3,Female
2011,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78.1,Female
2013,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.8,Overall
2015,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.6,Overall
2011,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.1,Overall
2013,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71.1,Male
2013,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71,Overall
2013,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.9,Female
2015,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.7,Male
2011,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Male
2015,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.9,Female
2013,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.2,Male
2015,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Overall
2015,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.7,Male
2011,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.1,Female
2011,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.9,Overall
2011,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,56.3,Male
2013,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.9,Male
2015,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.2,Male
2011,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.9,Female
2011,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.3,Overall
2015,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.9,Overall
2013,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.8,Overall
2011,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.7,Male
2015,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.6,Female
2013,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.5,Female
2011,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71,Male
2011,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.4,Overall
2011,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.8,Female
2013,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66,Female
2013,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Overall
2013,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.8,Male
2015,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.2,Male
2015,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.9,Overall
2015,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.7,Female
2015,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,81.3,Female
2015,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,80.3,Overall
2011,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,79.5,Female
2015,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,79.2,Male
2013,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77,Female
2011,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.6,Overall
2013,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.7,Overall
2011,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.4,Male
2015,GA,Georgia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.8,Female
2013,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Male
2015,GA,Georgia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69,Overall
2011,GA,Georgia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.9,Female
2013,GA,Georgia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.4,Female
2013,GA,Georgia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.2,Overall
2015,GA,Georgia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.1,Male
2013,GA,Georgia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67,Male
2011,GA,Georgia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.2,Overall
2011,GA,Georgia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60.2,Male
2015,GU,Guam,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,79.2,Male
2015,GU,Guam,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.1,Overall
2013,GU,Guam,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.1,Male
2015,GU,Guam,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.6,Male
2013,GU,Guam,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.1,Overall
2013,GU,Guam,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.4,Female
2013,GU,Guam,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.2,Female
2015,GU,Guam,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.5,Overall
2013,GU,Guam,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.9,Overall
2011,GU,Guam,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.5,Female
2013,GU,Guam,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.4,Male
2015,GU,Guam,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.1,Female
2015,GU,Guam,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,62.4,Female
2011,GU,Guam,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,62.3,Female
2011,GU,Guam,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,58.1,Overall
2011,GU,Guam,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,58.1,Overall
2011,GU,Guam,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,53.2,Male
2011,GU,Guam,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,48.8,Male
2015,HI,Hawaii,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.4,Male
2013,HI,Hawaii,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.6,Female
2015,HI,Hawaii,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.4,Overall
2015,HI,Hawaii,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.4,Female
2011,HI,Hawaii,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.3,Male
2011,HI,Hawaii,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.1,Overall
2013,HI,Hawaii,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.1,Overall
2011,HI,Hawaii,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.9,Female
2013,HI,Hawaii,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.5,Male
2015,HI,Hawaii,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.9,Male
2015,HI,Hawaii,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60.9,Overall
2011,HI,Hawaii,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60.8,Male
2011,HI,Hawaii,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.7,Overall
2015,HI,Hawaii,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,58.8,Female
2011,HI,Hawaii,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,58.6,Female
2013,HI,Hawaii,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.5,Male
2013,HI,Hawaii,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.4,Female
2013,HI,Hawaii,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.4,Overall
2015,ID,Idaho,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.1,Male
2015,ID,Idaho,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74,Overall
2015,ID,Idaho,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.2,Female
2011,ID,Idaho,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.7,Female
2011,ID,Idaho,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.9,Overall
2011,ID,Idaho,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.3,Female
2011,ID,Idaho,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.2,Male
2013,ID,Idaho,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.7,Female
2015,ID,Idaho,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.6,Female
2013,ID,Idaho,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.3,Overall
2013,ID,Idaho,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68,Male
2011,ID,Idaho,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.9,Overall
2015,ID,Idaho,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.5,Overall
2011,ID,Idaho,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,64.9,Male
2013,ID,Idaho,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,64.4,Male
2013,ID,Idaho,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,64.3,Overall
2015,ID,Idaho,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.1,Male
2013,ID,Idaho,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,64.1,Female
2013,IL,Illinois,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,74.2,Male
2013,IL,Illinois,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73,Female
2015,IL,Illinois,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72,Female
2015,IL,Illinois,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.1,Overall
2013,IL,Illinois,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.9,Overall
2015,IL,Illinois,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.2,Male
2015,IL,Illinois,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69,Female
2013,IL,Illinois,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.5,Male
2013,IL,Illinois,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.3,Overall
2011,IL,Illinois,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.6,Male
2011,IL,Illinois,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.9,Overall
2011,IL,Illinois,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.1,Female
2015,IL,Illinois,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.5,Overall
2013,IL,Illinois,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.3,Female
